iter	Passed	Remaining
0	3	3837
1	7	3693
2	10	3507
3	13	3289
4	17	3414
5	19	3266
6	23	3296
7	26	3293
8	29	3279
9	32	3264
10	37	3362
11	42	3474
12	45	3482
13	49	3494
14	54	3547
15	57	3517
16	59	3468
17	63	3473
18	68	3554
19	71	3514
20	74	3482
21	77	3435
22	80	3440
23	85	3495
24	88	3447
25	90	3403
26	96	3487
27	100	3492
28	103	3480
29	107	3485
30	112	3501
31	116	3520
32	119	3496
33	123	3494
34	126	3475
35	129	3465
36	132	3437
37	134	3405
38	139	3431
39	142	3421
40	146	3434
41	150	3431
42	153	3422
43	157	3419
44	163	3466
45	166	3453
46	169	3439
47	172	3414
48	176	3416
49	179	3415
50	183	3415
51	186	3398
52	188	3372
53	192	3377
54	196	3373
55	199	3361
56	202	3356
57	206	3360
58	211	3377
59	215	3377
60	218	3358
61	221	3346
62	225	3347
63	227	3327
64	230	3310
65	232	3295
66	235	3281
67	239	3287
68	242	3266
69	244	3247
70	246	3228
71	249	3214
72	254	3233
73	257	3218
74	259	3200
75	262	3188
76	264	3169
77	268	3177
78	272	3178
79	275	3169
80	278	3160
81	283	3172
82	286	3162
83	288	3147
84	291	3138
85	294	3128
86	297	3122
87	300	3116
88	303	3101
89	305	3093
90	309	3087
91	314	3099
92	316	3090
93	318	3069
94	321	3063
95	324	3053
96	327	3051
97	330	3044
98	333	3031
99	335	3020
100	338	3011
101	340	2999
102	344	3003
103	347	2990
104	349	2979
105	352	2972
106	355	2962
107	358	2963
108	361	2953
109	363	2939
110	365	2925
111	367	2914
112	369	2903
113	372	2894
114	376	2893
115	378	2884
116	380	2872
117	382	2858
118	384	2849
119	388	2850
120	391	2841
121	393	2831
122	395	2819
123	397	2810
124	400	2800
125	403	2800
126	405	2790
127	408	2786
128	411	2776
129	413	2765
130	416	2760
131	419	2759
132	422	2752
133	426	2753
134	429	2752
135	432	2748
136	437	2756
137	439	2746
138	442	2738
139	444	2730
140	449	2740
141	452	2732
142	455	2727
143	457	2720
144	459	2712
145	462	2703
146	464	2697
147	468	2698
148	470	2689
149	475	2694
150	477	2685
151	481	2686
152	484	2682
153	487	2677
154	490	2671
155	492	2665
156	496	2667
157	499	2662
158	502	2656
159	504	2648
160	507	2642
161	511	2644
162	513	2635
163	515	2626
164	517	2617
165	519	2611
166	521	2603
167	526	2607
168	528	2600
169	531	2597
170	533	2585
171	536	2583
172	540	2583
173	544	2583
174	546	2576
175	548	2568
176	555	2580
177	558	2578
178	561	2573
179	564	2572
180	567	2566
181	571	2567
182	575	2570
183	577	2563
184	581	2562
185	586	2566
186	589	2563
187	594	2567
188	597	2562
189	599	2555
190	604	2559
191	608	2559
192	612	2559
193	616	2560
194	621	2565
195	624	2561
196	628	2561
197	631	2559
198	634	2552
199	636	2546
200	639	2541
201	641	2535
202	643	2527
203	646	2524
204	650	2523
205	653	2517
206	655	2511
207	657	2503
208	659	2497
209	662	2493
210	665	2489
211	668	2484
212	670	2477
213	672	2470
214	676	2469
215	680	2468
216	682	2461
217	685	2458
218	687	2452
219	692	2453
220	694	2449
221	696	2442
222	699	2437
223	702	2432
224	704	2426
225	707	2422
226	710	2419
227	713	2416
228	716	2411
229	718	2405
230	721	2401
231	724	2398
232	728	2399
233	731	2393
234	733	2386
235	735	2381
236	739	2381
237	741	2374
238	743	2368
239	746	2363
240	748	2358
241	751	2352
242	755	2353
243	758	2350
244	761	2345
245	764	2344
246	768	2341
247	771	2338
248	773	2332
249	775	2326
250	778	2324
251	781	2319
252	785	2318
253	787	2313
254	789	2306
255	791	2300
256	795	2298
257	799	2299
258	802	2296
259	804	2290
260	807	2285
261	809	2281
262	812	2276
263	816	2275
264	819	2272
265	821	2266
266	823	2261
267	825	2254
268	828	2250
269	831	2248
270	833	2243
271	838	2242
272	840	2238
273	842	2233
274	847	2233
275	850	2230
276	852	2225
277	854	2219
278	857	2215
279	860	2213
280	863	2208
281	865	2204
282	868	2199
283	870	2194
284	872	2189
285	875	2185
286	877	2181
287	880	2177
288	883	2173
289	885	2168
290	888	2164
291	891	2162
292	895	2160
293	898	2156
294	900	2151
295	903	2148
296	905	2142
297	906	2135
298	907	2128
299	909	2121
300	910	2114
301	911	2107
302	913	2100
303	914	2093
304	916	2087
305	918	2082
306	920	2076
307	921	2070
308	922	2063
309	923	2056
310	925	2049
311	927	2044
312	928	2037
313	929	2031
314	930	2024
315	932	2017
316	933	2011
317	936	2007
318	937	2001
319	939	1996
320	940	1989
321	942	1983
322	943	1978
323	944	1971
324	946	1965
325	947	1959
326	951	1957
327	952	1950
328	953	1944
329	954	1937
330	956	1933
331	958	1928
332	959	1921
333	960	1915
334	961	1908
335	962	1902
336	964	1897
337	965	1891
338	966	1885
339	967	1878
340	968	1872
341	969	1866
342	970	1859
343	971	1853
344	973	1847
345	974	1841
346	975	1834
347	977	1830
348	979	1826
349	981	1821
350	982	1816
351	983	1809
352	984	1804
353	985	1799
354	986	1792
355	988	1787
356	989	1781
357	990	1775
358	991	1769
359	992	1764
360	993	1759
361	995	1755
362	997	1749
363	997	1743
364	998	1737
365	999	1731
366	1000	1725
367	1001	1720
368	1002	1714
369	1003	1708
370	1004	1702
371	1005	1697
372	1007	1692
373	1008	1688
374	1010	1683
375	1011	1678
376	1012	1672
377	1013	1667
378	1014	1662
379	1016	1657
380	1017	1652
381	1018	1646
382	1018	1641
383	1019	1636
384	1020	1630
385	1021	1625
386	1023	1621
387	1024	1616
388	1026	1611
389	1027	1606
390	1028	1601
391	1029	1596
392	1030	1592
393	1031	1587
394	1032	1581
395	1034	1577
396	1035	1572
397	1036	1567
398	1038	1564
399	1039	1559
400	1040	1554
401	1041	1549
402	1042	1544
403	1043	1539
404	1044	1534
405	1045	1530
406	1047	1525
407	1047	1520
408	1048	1515
409	1049	1510
410	1050	1506
411	1052	1501
412	1053	1497
413	1054	1492
414	1055	1487
415	1056	1483
416	1057	1478
417	1058	1473
418	1059	1468
419	1060	1464
420	1061	1459
421	1062	1455
422	1063	1450
423	1064	1446
424	1065	1441
425	1067	1437
426	1068	1433
427	1069	1429
428	1070	1425
429	1071	1420
430	1072	1416
431	1074	1412
432	1075	1408
433	1076	1403
434	1077	1399
435	1078	1394
436	1079	1390
437	1082	1389
438	1084	1385
439	1085	1381
440	1086	1377
441	1087	1373
442	1089	1369
443	1091	1366
444	1092	1362
445	1093	1358
446	1094	1354
447	1097	1351
448	1098	1347
449	1099	1343
450	1100	1339
451	1101	1335
452	1103	1332
453	1104	1328
454	1105	1324
455	1106	1320
456	1107	1316
457	1109	1312
458	1111	1310
459	1112	1306
460	1113	1302
461	1114	1297
462	1115	1293
463	1116	1289
464	1117	1285
465	1118	1281
466	1119	1277
467	1120	1274
468	1121	1270
469	1122	1266
470	1123	1262
471	1125	1259
472	1127	1256
473	1128	1251
474	1129	1247
475	1130	1243
476	1130	1240
477	1132	1236
478	1133	1232
479	1134	1228
480	1135	1225
481	1137	1222
482	1139	1219
483	1141	1216
484	1142	1213
485	1143	1209
486	1145	1206
487	1146	1202
488	1147	1199
489	1148	1195
490	1150	1192
491	1151	1188
492	1152	1185
493	1154	1182
494	1155	1179
495	1157	1176
496	1158	1172
497	1159	1168
498	1160	1164
499	1161	1161
500	1162	1157
501	1163	1153
502	1164	1150
503	1165	1146
504	1166	1143
505	1167	1139
506	1168	1136
507	1169	1132
508	1171	1129
509	1172	1126
510	1172	1122
511	1173	1118
512	1176	1116
513	1177	1112
514	1177	1109
515	1179	1105
516	1181	1103
517	1184	1102
518	1185	1098
519	1186	1095
520	1187	1092
521	1189	1088
522	1190	1085
523	1191	1082
524	1193	1080
525	1195	1076
526	1196	1073
527	1197	1070
528	1198	1066
529	1200	1064
530	1201	1060
531	1202	1057
532	1203	1054
533	1204	1050
534	1205	1047
535	1206	1044
536	1207	1041
537	1209	1038
538	1210	1035
539	1211	1032
540	1213	1029
541	1214	1026
542	1216	1023
543	1217	1020
544	1218	1017
545	1219	1013
546	1220	1010
547	1222	1008
548	1223	1005
549	1224	1001
550	1225	998
551	1226	995
552	1227	992
553	1228	989
554	1230	986
555	1231	983
556	1232	980
557	1233	977
558	1234	974
559	1235	971
560	1236	967
561	1237	964
562	1238	961
563	1239	958
564	1240	955
565	1241	952
566	1243	949
567	1244	946
568	1245	943
569	1247	940
570	1248	937
571	1249	934
572	1250	931
573	1251	928
574	1252	925
575	1253	922
576	1253	919
577	1254	916
578	1255	913
579	1256	909
580	1257	907
581	1259	904
582	1260	901
583	1261	898
584	1262	895
585	1263	892
586	1264	889
587	1266	887
588	1267	884
589	1268	881
590	1269	878
591	1271	876
592	1272	873
593	1273	870
594	1274	867
595	1275	864
596	1277	862
597	1278	859
598	1279	856
599	1280	853
600	1281	850
601	1282	848
602	1283	845
603	1284	842
604	1285	839
605	1286	836
606	1288	834
607	1289	831
608	1290	828
609	1291	825
610	1292	822
611	1293	819
612	1294	816
613	1294	814
614	1295	811
615	1297	808
616	1298	805
617	1298	802
618	1299	800
619	1300	797
620	1302	794
621	1303	792
622	1304	789
623	1305	786
624	1306	784
625	1307	781
626	1308	778
627	1309	775
628	1310	773
629	1311	770
630	1312	767
631	1313	764
632	1314	762
633	1315	759
634	1317	757
635	1319	755
636	1320	752
637	1321	749
638	1322	747
639	1323	744
640	1324	741
641	1325	739
642	1327	736
643	1328	734
644	1329	731
645	1330	728
646	1331	726
647	1332	724
648	1334	721
649	1335	719
650	1336	716
651	1337	714
652	1338	711
653	1339	708
654	1340	706
655	1341	703
656	1342	701
657	1343	698
658	1344	695
659	1346	693
660	1348	691
661	1349	688
662	1350	686
663	1351	683
664	1352	681
665	1353	678
666	1355	676
667	1356	674
668	1358	671
669	1359	669
670	1360	667
671	1362	665
672	1364	662
673	1365	660
674	1366	657
675	1367	655
676	1368	652
677	1369	650
678	1370	647
679	1371	645
680	1373	643
681	1374	640
682	1375	638
683	1377	636
684	1378	633
685	1379	631
686	1380	628
687	1381	626
688	1382	623
689	1383	621
690	1384	618
691	1385	616
692	1386	614
693	1387	611
694	1388	609
695	1389	606
696	1390	604
697	1392	602
698	1394	600
699	1395	598
700	1396	595
701	1398	593
702	1399	591
703	1400	588
704	1402	586
705	1404	584
706	1407	583
707	1409	581
708	1410	579
